Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,0,1,605,2,21,3,1,4,0,72,3,4,4,1,17875,11761,4,1,13,3,3,1,29,2,2,1,0,0,0
45,0,1,950,1,28,3,5,4,1,97,3,1,4,1,2132,4585,4,0,20,4,4,1,8,3,3,5,4,0,3
40,0,1,300,2,26,3,2,3,1,74,3,2,1,1,8396,22217,1,0,14,3,2,1,8,3,2,7,7,7,5
36,0,0,1434,2,8,4,1,1,1,76,2,3,1,0,7587,14229,1,0,15,3,2,0,10,1,3,10,7,0,9
25,1,2,599,2,24,1,1,3,1,73,1,1,4,0,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0
52,0,1,1490,1,4,2,1,4,0,30,3,4,4,1,16555,10310,2,0,13,3,4,0,31,2,1,5,2,1,4
47,0,1,207,1,9,4,1,2,0,64,3,1,3,0,2105,5411,4,0,12,3,3,0,7,2,3,2,2,2,0
26,0,1,390,1,17,4,3,4,1,62,1,1,3,1,2305,6217,1,0,15,3,3,3,3,3,4,3,2,0,2
24,0,0,830,2,13,2,1,4,0,78,3,1,2,1,2033,7103,1,0,13,3,3,1,1,2,3,1,0,0,0
27,0,1,608,1,1,2,1,3,0,68,3,3,1,1,7412,6009,1,0,11,3,4,0,9,3,3,9,7,0,7
30,0,1,793,1,16,1,1,2,1,33,3,1,4,1,2862,3811,1,0,12,3,2,1,10,2,2,10,0,0,8
47,0,1,1001,1,4,3,1,3,0,92,2,3,2,2,10333,19271,8,1,12,3,3,1,28,4,3,22,11,14,10
47,0,2,1309,2,4,1,3,2,1,99,3,2,3,0,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0
34,1,2,988,0,23,3,0,2,0,43,3,3,1,2,9950,11533,9,1,15,3,3,3,11,2,3,3,2,0,2
45,0,1,1329,1,2,2,4,4,0,59,2,2,4,2,5770,5388,1,0,19,3,1,2,10,3,3,10,7,3,9
38,0,1,433,0,1,3,0,3,1,37,4,1,3,1,2844,6004,1,0,13,3,4,1,7,2,4,7,6,5,0
38,0,2,653,1,29,5,1,4,0,50,3,2,4,0,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9
29,0,2,806,1,1,4,1,2,1,76,1,1,4,2,2720,18959,1,0,18,3,4,1,10,5,3,10,7,2,8
34,0,1,401,1,1,3,1,4,0,86,2,1,2,1,3294,3708,5,0,17,3,1,1,7,2,2,5,4,0,2
30,0,1,1334,2,4,2,3,3,0,63,2,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7
27,0,1,486,1,8,3,3,2,0,86,4,1,3,1,3517,22490,7,0,17,3,1,0,5,0,3,3,2,0,2
35,0,1,1343,1,27,1,3,3,0,53,2,1,1,0,2559,17852,1,0,11,3,4,0,6,3,2,6,5,1,1
32,0,0,1184,1,1,3,1,3,0,70,2,1,2,1,2332,3974,6,0,20,4,3,0,5,3,3,3,0,0,2
35,0,1,464,1,4,2,4,3,1,75,3,1,4,2,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0
34,0,0,999,1,26,1,5,1,0,92,2,1,3,2,2029,15891,1,0,20,4,3,3,5,2,3,5,4,0,0
31,0,1,746,1,8,4,1,3,0,61,3,2,4,0,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8
19,1,1,489,0,2,2,5,1,1,52,2,1,4,0,2564,18437,1,0,12,3,3,0,1,3,4,1,0,0,0
55,0,1,478,1,2,3,3,3,1,60,2,5,1,1,19038,19805,8,0,12,3,2,3,34,2,3,1,0,0,0
38,0,0,152,2,10,3,5,3,0,85,3,2,4,0,5666,19899,1,1,13,3,2,0,6,1,3,5,3,1,3
20,1,1,500,2,2,3,3,3,0,49,2,1,3,0,2044,22052,1,0,13,3,4,0,2,3,2,2,2,0,2
34,0,1,470,1,2,4,1,4,1,84,2,2,1,1,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9
36,0,1,928,2,1,2,1,2,1,56,3,2,4,1,6201,2823,1,1,14,3,4,1,18,1,2,18,14,4,11
49,0,1,464,1,16,3,3,4,0,74,3,1,1,2,2587,24941,4,1,16,3,2,1,17,2,2,2,2,2,2
40,0,1,804,1,2,1,3,4,0,86,2,1,4,0,2342,22929,0,1,20,4,4,0,5,2,2,4,2,2,3
40,0,1,989,1,4,1,3,4,0,46,3,5,3,1,19033,6499,1,0,14,3,2,1,21,2,3,20,8,9,9
51,0,1,1169,1,7,4,3,2,1,34,2,2,3,1,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0
60,0,1,696,2,7,4,2,2,1,52,4,2,4,2,5220,10893,0,1,18,3,2,1,12,3,3,11,7,1,9
31,0,1,192,1,2,4,1,3,1,32,3,1,4,2,2695,7747,0,1,18,3,2,1,3,2,1,2,2,2,2
38,0,2,216,1,23,3,1,4,1,44,2,3,3,0,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8
27,1,1,135,1,17,4,1,4,0,51,3,1,3,0,2394,25681,1,1,13,3,4,0,8,2,3,8,2,7,7
29,0,1,592,1,7,3,1,4,1,59,3,1,1,0,2062,19384,3,0,14,3,2,0,11,2,3,3,2,1,2
60,0,2,1499,2,28,3,2,3,0,80,2,3,1,1,10266,2845,4,0,19,3,4,0,22,5,4,18,13,13,11
38,0,1,168,1,1,3,1,3,0,81,3,3,3,0,7861,15397,4,1,14,3,4,0,10,4,4,1,0,0,0
31,0,1,1274,1,9,1,1,3,1,33,3,3,2,2,10648,14394,1,0,25,4,4,1,13,6,4,13,8,0,8
36,0,1,913,1,9,2,3,2,1,48,2,2,2,2,8847,13934,2,1,11,3,3,1,13,2,3,3,2,0,2
34,0,1,1480,2,4,3,1,3,1,64,3,3,4,1,9713,24444,2,1,13,3,4,3,9,3,3,5,3,1,0
37,0,2,1231,2,21,2,3,3,0,54,3,1,4,1,2973,21222,5,0,15,3,2,1,10,3,3,5,4,0,0
29,1,1,805,1,1,2,1,2,0,36,2,1,1,1,2319,6689,1,1,11,3,4,1,1,1,3,1,0,0,0
27,0,1,511,2,2,2,3,1,0,89,4,2,3,0,6500,26997,0,0,14,3,2,0,9,5,2,8,7,0,7
29,0,1,991,2,5,3,3,1,1,43,2,2,2,2,4187,3356,1,1,13,3,2,1,10,3,2,10,0,0,9
34,0,2,669,1,1,3,3,4,1,97,2,2,1,0,5343,25755,0,0,20,4,3,0,14,3,3,13,9,4,9
35,0,1,819,1,18,5,1,2,1,48,4,2,1,1,5208,26312,1,0,11,3,4,0,16,2,3,16,15,1,10
25,0,1,883,2,26,1,3,3,0,32,3,2,4,0,6180,22807,1,0,23,4,2,0,6,5,2,6,5,1,4
60,0,1,422,1,7,3,1,1,0,41,3,5,1,1,19566,3854,5,0,11,3,4,0,33,5,1,29,8,11,10
36,0,0,1229,2,8,4,5,1,1,84,3,2,4,2,5079,25952,4,0,13,3,4,2,12,3,3,7,7,0,7
27,0,1,1115,1,3,4,3,1,1,54,2,1,4,0,2045,15174,0,0,13,3,4,0,5,0,3,4,2,1,1
24,0,1,1206,1,17,1,3,4,0,41,2,2,3,2,4377,24117,1,0,15,3,2,2,5,6,3,4,2,3,2
21,0,0,895,2,9,2,3,1,1,39,3,1,4,0,2610,2851,1,0,24,4,3,0,3,3,2,3,2,2,2
33,0,2,430,2,7,3,3,4,1,54,3,2,1,1,4373,17456,0,0,14,3,1,2,5,2,3,4,3,0,3
32,0,2,430,1,24,4,1,1,1,80,3,2,4,1,5309,21146,1,0,15,3,4,2,10,2,3,10,8,4,7
34,0,1,121,1,2,4,3,3,0,86,2,1,1,0,4381,7530,1,0,11,3,3,0,6,3,3,6,5,1,3
40,0,0,663,1,9,4,4,3,1,81,3,2,3,2,3975,23099,3,0,11,3,3,2,11,2,4,8,7,0,7
34,0,1,970,1,8,2,3,2,0,96,3,2,3,0,6142,7360,3,0,11,3,4,0,10,2,3,5,1,4,3
33,0,1,461,1,13,1,1,2,0,53,3,1,4,0,3452,17241,3,0,18,3,1,0,5,4,3,3,2,0,2
46,0,1,406,2,3,1,2,1,1,52,3,4,3,1,17465,15596,3,0,12,3,4,1,23,3,3,12,9,4,9
27,0,2,1297,1,5,2,1,4,0,53,3,1,4,0,2379,19826,0,1,14,3,3,0,6,3,2,5,4,0,2
44,0,1,1199,1,4,2,1,3,1,92,4,5,1,2,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13
46,1,1,261,1,21,2,3,4,0,66,3,2,2,1,8926,10842,4,0,22,4,4,1,13,2,4,9,7,3,7
53,0,0,661,1,1,4,3,1,0,60,2,4,3,1,12965,22308,4,1,20,4,4,3,27,2,2,3,2,0,2
35,0,0,1225,1,2,4,1,4,0,61,3,2,1,2,5093,4761,2,0,11,3,1,1,16,2,4,1,0,0,0
31,1,2,874,1,15,3,3,3,1,72,3,1,3,1,2610,6233,1,0,12,3,3,1,2,5,2,2,2,2,2
41,0,1,263,1,6,3,3,4,1,59,3,1,1,0,4721,3119,2,1,13,3,3,0,20,3,3,18,13,2,17
48,0,1,855,1,4,3,1,4,1,54,3,3,4,0,7898,18706,1,0,11,3,3,0,11,2,3,10,9,0,8
31,1,2,754,2,26,4,2,1,1,63,3,2,4,1,5617,21075,1,1,11,3,3,0,10,4,3,10,7,0,8
28,0,0,1476,1,1,3,1,3,0,55,1,2,4,1,6674,16392,0,0,11,3,1,3,10,6,3,9,8,7,5
31,0,1,1276,1,2,1,3,4,0,59,1,1,4,2,1129,17536,1,1,11,3,3,3,1,4,3,1,0,0,0
49,0,1,1490,1,7,4,1,3,1,35,3,3,2,2,10466,20948,3,0,14,3,2,2,29,3,3,8,7,0,7
36,0,2,1302,1,6,4,1,1,1,80,4,2,1,1,5562,19711,3,1,13,3,4,1,9,3,3,3,2,0,2
28,0,0,280,0,1,2,1,3,1,43,3,1,4,2,2706,10494,1,0,15,3,2,1,3,2,3,3,2,2,2
42,0,1,932,1,1,2,1,4,0,43,2,2,4,1,6062,4051,9,1,13,3,4,1,8,4,3,4,3,0,2
31,1,2,307,1,29,2,3,3,1,71,2,1,2,0,3479,11652,0,0,11,3,2,0,6,2,4,5,4,1,4
56,0,2,906,2,6,3,1,3,0,86,4,4,1,1,13212,18256,9,0,11,3,4,3,36,0,2,7,7,7,7
38,0,1,827,1,1,4,1,2,0,33,4,2,4,0,7625,19383,0,0,13,3,3,0,10,4,2,9,7,1,8
36,0,1,796,1,12,5,3,4,0,51,2,3,4,0,8858,15669,0,0,11,3,2,0,15,2,2,14,8,7,8
40,1,1,299,2,25,4,2,4,1,57,2,3,2,0,9094,17235,2,1,12,3,3,0,9,2,3,5,4,1,0
39,0,2,505,1,2,4,5,3,0,64,3,3,3,0,10938,6420,0,0,25,4,4,0,20,1,3,19,6,11,8
37,0,1,558,2,2,3,2,4,1,75,3,2,3,1,9602,3010,4,1,11,3,3,1,17,3,2,3,0,1,0
45,0,2,1199,1,7,4,1,1,1,77,4,2,3,1,6434,5118,4,0,17,3,4,1,9,1,3,3,2,0,2
35,0,1,1137,1,21,1,1,4,0,51,3,2,4,1,4014,19170,1,1,25,4,4,1,10,2,1,10,6,0,7
37,0,1,309,2,10,4,1,4,0,88,2,2,4,2,6694,24223,2,1,14,3,3,3,8,5,3,1,0,0,0
47,0,1,1176,0,26,4,1,4,0,98,3,5,3,1,19658,5220,3,0,11,3,3,1,27,2,3,5,2,1,0
29,1,2,746,2,24,3,5,3,1,45,4,1,1,0,1091,10642,1,0,17,3,4,0,1,3,3,1,0,0,0
50,0,1,813,1,17,5,1,4,0,50,2,3,1,2,13269,21981,5,0,15,3,3,3,19,3,3,14,11,1,11
27,0,1,205,2,10,3,2,4,0,98,2,2,4,1,5769,7100,1,1,11,3,4,0,6,3,3,6,2,4,4
34,0,1,216,2,1,4,2,2,1,75,4,2,4,2,9725,12278,0,0,11,3,4,1,16,2,2,15,1,0,9
35,0,1,185,1,23,4,3,2,1,91,1,1,3,1,2705,9696,0,0,16,3,2,1,6,2,4,5,4,0,3
53,0,1,868,2,8,3,2,1,1,73,3,4,4,1,11836,22789,5,0,14,3,3,1,28,3,3,2,0,2,2
47,1,2,1093,2,9,3,1,3,1,82,1,4,3,1,12936,24164,7,0,11,3,3,0,25,3,1,23,5,14,10
26,0,2,921,1,1,1,3,1,0,66,2,1,3,2,2007,25265,1,0,13,3,3,2,5,5,3,5,3,1,3
29,0,1,718,1,8,1,3,2,1,79,2,2,4,1,5056,17689,1,1,15,3,3,1,10,2,2,10,7,1,2
20,1,1,129,1,4,3,5,1,1,84,3,1,1,0,2973,13008,1,0,19,3,2,0,1,2,3,1,0,0,0
37,0,1,799,1,1,3,5,2,0,59,3,3,4,0,7491,23848,4,0,17,3,4,0,12,3,4,6,5,1,2
42,0,2,748,1,9,2,3,1,0,74,3,1,4,0,3673,16458,1,0,13,3,3,0,12,3,3,12,9,5,8
40,0,2,720,1,16,4,3,1,1,51,2,2,3,0,5094,11983,6,0,14,3,4,0,10,6,3,1,0,0,0
41,0,0,267,2,10,2,1,4,1,56,3,2,4,0,6230,13430,7,0,14,3,4,0,16,3,3,14,3,1,10
52,0,2,322,1,28,2,3,4,0,59,4,4,3,1,13247,9731,2,1,11,3,2,1,24,3,2,5,3,0,2
29,1,1,428,2,9,3,2,2,0,52,1,1,2,0,2760,14630,1,0,13,3,3,0,2,3,3,2,2,2,2
33,0,0,1313,1,1,2,3,2,1,59,2,1,3,2,2008,20439,1,0,12,3,3,3,1,2,2,1,1,0,0
45,0,0,1195,1,2,2,3,1,1,65,2,4,4,1,16792,20462,9,0,23,4,4,1,22,1,3,20,8,11,8
39,0,1,1431,1,1,4,3,3,0,96,3,1,3,2,2232,15417,7,0,14,3,3,3,7,1,3,3,2,1,2
40,0,1,616,1,2,2,1,3,0,99,3,1,1,1,3377,25605,4,0,17,3,4,1,7,5,2,4,3,0,2
35,0,1,882,2,3,4,1,4,1,92,3,3,4,2,7823,6812,6,0,13,3,2,1,12,2,3,10,9,0,8
24,0,1,771,1,1,2,1,2,1,45,2,2,3,0,4617,14120,1,0,12,3,2,0,4,2,2,4,3,1,2
49,0,1,1495,1,5,4,5,1,1,96,3,2,3,1,6651,21534,2,0,14,3,2,1,20,0,2,3,2,1,2
35,0,1,1229,1,8,1,1,4,1,36,4,1,4,1,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1
26,0,1,1066,1,2,2,3,4,1,32,4,2,4,1,5472,3334,1,0,12,3,2,0,8,2,3,8,7,1,3
33,1,1,587,1,10,1,3,1,1,38,1,1,4,2,3408,6705,7,0,13,3,1,3,8,2,3,4,3,1,3
55,1,1,725,1,2,3,3,4,1,78,3,5,1,1,19859,21199,5,1,13,3,4,1,24,2,3,5,2,1,4
31,0,0,976,1,3,2,3,3,1,48,3,1,1,2,3065,3995,1,1,13,3,4,1,4,3,4,4,2,2,3
32,0,1,499,2,2,1,2,3,1,36,3,2,2,1,4078,20497,0,1,13,3,1,3,4,3,2,3,2,1,2
24,0,1,477,1,24,3,3,4,1,49,3,1,2,0,3597,6409,8,0,22,4,4,0,6,2,3,4,3,1,2
50,0,1,316,2,8,4,2,4,1,54,3,1,2,1,3875,9983,7,0,15,3,4,1,4,2,3,2,2,2,2
45,0,1,193,1,6,4,4,4,1,52,3,3,1,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0
50,1,2,959,2,1,4,4,4,1,81,3,2,3,0,4728,17251,3,1,14,3,4,0,5,4,3,0,0,0,0
35,0,1,1276,1,16,3,1,4,1,72,3,3,3,1,7632,14295,4,1,12,3,3,0,10,2,3,8,7,0,0
30,0,2,721,1,1,2,3,3,0,58,3,2,4,0,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7
32,1,1,1259,1,2,4,1,4,1,95,3,1,2,0,1393,24852,1,0,12,3,1,0,1,2,3,1,0,0,0
30,0,1,855,2,7,4,2,4,0,73,3,2,1,2,4779,12761,7,0,14,3,2,2,8,3,3,3,2,0,2
44,1,1,1376,0,1,2,3,2,1,91,2,3,1,1,10482,2326,9,0,14,3,4,1,24,1,3,20,6,3,6
41,0,1,334,2,2,4,1,4,1,88,3,4,2,0,16015,15896,1,0,19,3,2,0,22,2,3,22,10,0,4
34,0,0,1375,2,10,3,1,4,1,87,3,2,3,2,4001,12313,1,1,14,3,3,1,15,3,3,15,14,0,7
37,0,1,674,1,13,3,3,1,1,47,3,2,4,1,4285,3031,1,0,17,3,1,0,10,2,3,10,8,3,7
35,0,1,1315,1,22,3,1,2,0,71,4,3,2,2,11996,19100,7,0,18,3,2,1,10,6,2,7,7,6,2
27,0,1,618,1,4,3,1,2,0,76,3,1,3,0,2318,17808,1,0,19,3,3,0,1,2,3,1,1,0,0
30,0,1,1082,2,12,3,5,2,0,83,3,2,3,0,6577,19558,0,0,11,3,2,0,6,6,3,5,4,4,4
36,0,1,1403,1,6,3,1,4,1,47,3,1,4,1,3210,20251,0,0,11,3,3,1,16,4,3,15,13,10,11
18,1,0,247,1,8,1,3,3,1,80,3,1,3,0,1904,13556,1,0,12,3,4,0,0,0,3,0,0,0,0
34,0,1,204,2,14,3,5,3,0,31,3,1,3,2,2579,2912,1,1,18,3,4,2,8,3,3,8,2,0,6
44,0,1,1117,1,2,1,1,1,0,72,4,1,4,1,2011,19982,1,0,13,3,4,1,10,5,3,10,5,7,7
43,0,1,990,1,27,3,5,4,1,87,4,1,2,2,4876,5855,5,0,12,3,3,1,8,0,3,6,4,0,2
55,0,1,147,1,20,2,5,2,1,37,3,2,4,1,5415,15972,3,1,19,3,4,1,12,4,3,10,7,0,8
35,0,2,200,1,18,2,1,3,1,60,3,3,4,0,9362,19944,2,0,11,3,3,0,10,2,3,2,2,2,2
36,0,0,217,1,18,4,1,1,1,78,3,2,4,0,7779,23238,2,0,20,4,1,0,18,0,3,11,9,0,9
31,0,1,329,1,1,2,1,4,1,98,2,1,1,1,2218,16193,1,0,12,3,3,1,4,3,3,4,2,3,2
40,0,0,1094,2,28,3,4,3,1,58,1,3,1,2,10932,11373,3,0,15,3,3,1,20,2,3,1,0,0,1
52,0,1,319,1,3,3,3,4,1,39,2,3,3,1,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4
33,0,1,213,1,7,3,3,3,1,49,3,3,3,1,11691,25995,0,0,11,3,4,0,14,3,4,13,9,3,7
30,0,1,570,2,5,3,2,4,0,30,2,2,3,2,6118,5431,1,0,13,3,3,3,10,2,3,10,9,1,2
33,1,1,350,2,5,3,2,4,0,34,3,1,3,0,2851,9150,1,1,13,3,2,0,1,2,3,1,0,0,0
45,0,1,788,0,24,4,3,2,1,36,3,1,2,0,2177,8318,1,0,16,3,1,0,6,3,3,6,3,0,4
28,0,1,895,1,15,2,1,1,1,50,3,1,3,2,2207,22482,1,0,16,3,4,1,4,5,2,4,2,2,2
30,0,1,921,1,1,3,1,4,1,38,1,1,3,1,3833,24375,3,0,21,4,3,2,7,2,3,2,2,0,2
27,0,1,1377,2,2,3,1,4,1,74,3,2,3,0,4478,5242,1,1,11,3,1,0,5,3,3,5,4,0,4
45,0,1,561,2,2,3,4,4,1,61,3,2,2,1,4805,16177,0,0,19,3,2,1,9,3,4,8,7,3,7
37,0,1,290,1,21,3,1,2,1,65,4,1,1,1,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7
20,1,2,769,2,9,3,2,4,0,54,3,1,4,0,2323,17205,1,1,14,3,2,0,2,3,3,2,2,0,2
41,0,1,796,2,4,1,2,3,0,81,3,3,3,2,10447,26458,0,1,13,3,4,1,23,3,4,22,14,13,5
59,0,2,1225,2,1,1,1,1,0,57,2,2,3,0,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3
46,0,1,563,2,1,4,1,4,1,56,4,4,1,0,17567,3156,1,0,15,3,2,0,27,5,1,26,0,0,12
36,0,1,1174,2,3,4,2,1,0,99,3,2,2,0,9278,20763,3,1,16,3,4,0,15,3,3,5,4,0,1
35,0,1,809,1,16,3,3,1,1,84,4,1,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3
33,0,0,775,1,4,3,5,4,1,90,3,2,2,2,3055,6194,5,0,15,3,4,2,11,2,2,9,8,1,7
34,0,1,511,2,3,2,1,4,0,32,1,2,4,0,6029,25353,5,0,12,3,1,0,6,3,3,2,2,2,2
31,1,1,1079,2,16,4,2,1,1,70,3,3,3,1,8161,19002,2,0,13,3,1,3,10,2,3,1,0,0,0
47,1,0,666,1,29,4,1,1,1,88,3,3,2,1,11849,10268,1,1,12,3,4,1,10,2,2,10,7,9,9
53,0,1,1223,1,7,2,3,4,0,50,3,5,3,2,18606,18640,3,0,18,3,2,1,26,6,3,7,7,4,7
33,0,1,654,1,5,3,1,4,1,34,2,3,4,2,7119,21214,4,0,15,3,3,1,9,2,3,3,2,1,2
34,1,2,234,1,9,4,1,4,1,93,3,2,1,1,5346,6208,4,0,17,3,3,1,11,3,2,7,1,0,7
21,1,2,251,1,10,2,1,1,0,45,2,1,3,0,2625,25308,1,0,20,4,3,0,2,2,1,2,2,2,2
36,0,1,1223,1,8,3,5,3,0,59,3,3,3,2,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8
40,0,1,523,1,2,3,1,3,1,98,3,2,4,0,4661,22455,1,0,13,3,3,0,9,4,3,9,8,8,8
31,0,1,196,2,29,4,2,1,0,91,2,2,4,1,5468,13402,1,0,14,3,1,2,13,3,3,12,7,5,7
32,0,1,1373,1,5,4,1,4,1,56,2,2,4,0,9679,10138,8,0,24,4,2,0,8,1,3,1,0,0,0
30,0,1,1288,2,29,4,5,3,1,33,3,3,2,1,9250,17799,3,0,12,3,2,1,9,3,3,4,2,1,3
38,0,2,1490,1,2,2,1,4,1,42,3,1,4,1,1702,12106,1,1,23,4,3,1,1,3,3,1,0,0,0
47,0,0,543,2,2,4,2,3,1,87,3,2,2,1,4978,3536,7,0,11,3,4,1,4,3,1,1,0,0,0
36,0,1,938,1,2,4,3,3,1,79,3,1,3,0,2519,12287,4,0,21,4,3,0,16,6,3,11,8,3,9
31,0,2,793,2,20,3,1,3,1,67,4,1,4,1,2791,21981,0,0,12,3,1,1,3,4,3,2,2,2,2
29,1,1,121,2,27,3,2,2,0,35,3,3,4,1,7639,24525,1,0,22,4,4,3,10,3,2,10,4,1,9
33,0,2,508,2,10,3,2,2,1,46,2,2,4,0,4682,4317,3,0,14,3,3,0,9,6,2,7,7,0,1
35,0,1,819,1,2,3,1,3,1,44,2,3,2,2,10274,19588,2,0,18,3,2,1,15,2,4,7,7,6,4
36,0,1,1383,1,10,3,1,4,1,90,3,3,1,1,8321,25949,7,1,13,3,4,1,15,1,3,12,8,5,7
50,0,2,1246,0,3,3,3,1,1,99,3,5,2,1,18200,7999,1,0,11,3,3,1,32,2,3,32,5,10,7
32,1,1,964,2,1,2,1,1,1,34,1,2,2,0,6735,12147,6,0,15,3,2,0,10,2,3,0,0,0,0
25,0,1,180,1,2,1,3,1,1,65,4,1,1,0,3424,21632,7,0,13,3,3,0,6,3,2,4,3,0,1
40,0,2,692,1,11,3,5,4,0,73,3,2,3,1,6323,26849,1,0,11,3,1,1,10,2,4,10,9,9,4
48,0,1,1469,1,20,4,3,4,1,51,3,1,3,1,2259,5543,4,0,17,3,1,2,13,2,2,0,0,0,0
46,0,1,1402,2,2,3,2,3,0,69,3,4,1,1,17048,24097,8,0,23,4,1,0,28,2,3,26,15,15,9
26,0,1,1349,1,23,3,1,1,0,90,3,1,4,2,2886,3032,1,0,22,4,2,2,3,3,1,3,2,0,2
34,0,2,648,0,11,3,1,3,1,56,2,2,2,1,4490,21833,4,0,11,3,4,2,14,5,4,10,9,1,8
